Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	1.63836051	0.00058841	0.10674654	0.00054437	0.00007060	0.00000336	
0.00100000	1.54642603	0.00062803	0.10763843	0.00055174	0.00007310	0.00000341	
0.00100000	1.53700263	0.00058288	0.11172317	0.00053171	0.00005211	0.00000335	
0.00100000	1.59989290	0.00046268	0.10274308	0.00055103	0.00007233	0.00000315	
0.00100000	1.61733073	0.00049397	0.10778484	0.00053766	0.00009440	0.00000333	
0.00100000	1.71293989	0.00036770	0.11250232	0.00053238	0.00012816	0.00000364	
0.00100000	1.61999221	0.00042684	0.11331563	0.00055557	0.00007309	0.00000359	
0.00100000	1.64524351	0.00062893	0.12459124	0.00053229	0.00005354	0.00000375	
0.00100000	1.84810585	0.00054122	0.12354329	0.00057922	0.00012385	0.00000718	
0.00100000	1.86959441	0.00037195	0.11676000	0.00053937	0.00020697	0.00000594	
0.00100000	1.74305062	0.00029790	0.11148435	0.00054292	0.00015142	0.00000552	
0.00100000	1.90603723	0.00038575	0.14937704	0.00056362	0.00011777	0.00000493	
0.00100000	2.09943653	0.00029629	0.14245467	0.00058723	0.00020601	0.00000622	
0.00100000	1.89929160	0.00039285	0.12485615	0.00058731	0.00012151	0.00000434	
